date,ticker,regime,target,text,event_type
2024-10-29,TSLA,-1,1,ret_1:-0.0114 corr_60d:0.4581 beta_60d:2.4729 SMA_20:236.3265 SMA_50:232.2332 RSI_14:61.5892 MACD_12_26_9:4.8152 MACDh_12_26_9:4.0679 MACDs_12_26_9:0.7474 BBL_20_2:201.2437 BBM_20_2:236.3265 BBU_20_2:271.4093 BBB_20_2:29.6901 BBP_20_2:0.8306 EMA_10:244.6624 EMA_50:232.9367 EMA_GAP:0.0503 ADX_14:27.7992 ADXR_14_2:27.3159 DMP_14:35.0689 DMN_14:19.4579 STOCHk_14_3_3:86.2330 STOCHd_14_3_3:81.9004 STOCHh_14_3_3:4.3326 ret_5:0.1906 mom_10:0.1819 vol_10:0.0722 rng_1:0.0365 zret_20:-0.2266 dist_20h:-0.0359 dist_20l:0.2147 skew_20:2.8352 kurt_20:11.2019 vol_ratio_20:-0.0543,market_state
2024-10-30,TSLA,-1,1,ret_1:-0.0076 corr_60d:0.4623 beta_60d:2.5130 SMA_20:236.7530 SMA_50:232.9622 RSI_14:60.3155 MACD_12_26_9:5.6244 MACDh_12_26_9:3.9016 MACDs_12_26_9:1.7228 BBL_20_2:200.8651 BBM_20_2:236.7530 BBU_20_2:272.6409 BBB_20_2:30.3167 BBP_20_2:0.7897 EMA_10:247.0056 EMA_50:233.9019 EMA_GAP:0.0560 ADX_14:27.8585 ADXR_14_2:27.7969 DMP_14:33.3652 DMN_14:18.5126 STOCHk_14_3_3:77.7307 STOCHd_14_3_3:85.5704 STOCHh_14_3_3:-7.8397 ret_5:0.2055 mom_10:0.1636 vol_10:0.0726 rng_1:0.0292 zret_20:-0.1865 dist_20h:-0.0432 dist_20l:0.2055 skew_20:2.8591 kurt_20:11.4640 vol_ratio_20:-0.3506,market_state
2024-10-31,TSLA,-1,1,ret_1:-0.0299 corr_60d:0.4576 beta_60d:2.3705 SMA_20:237.2125 SMA_50:233.4938 RSI_14:55.4854 MACD_12_26_9:5.5801 MACDh_12_26_9:3.0858 MACDs_12_26_9:2.4942 BBL_20_2:200.9034 BBM_20_2:237.2125 BBU_20_2:273.5216 BBB_20_2:30.6131 BBP_20_2:0.6740 EMA_10:247.5228 EMA_50:234.5273 EMA_GAP:0.0554 ADX_14:27.1705 ADXR_14_2:27.4848 DMP_14:31.0966 DMN_14:21.5083 STOCHk_14_3_3:70.8611 STOCHd_14_3_3:78.2750 STOCHh_14_3_3:-7.4138 ret_5:-0.0408 mom_10:0.1311 vol_10:0.0739 rng_1:0.0420 zret_20:-0.5794 dist_20h:-0.0718 dist_20l:0.1694 skew_20:2.8703 kurt_20:11.5381 vol_ratio_20:-0.1924,market_state
2024-11-01,TSLA,-1,1,ret_1:-0.0035 corr_60d:0.4518 beta_60d:2.4779 SMA_20:237.1575 SMA_50:234.2602 RSI_14:54.9499 MACD_12_26_9:5.4123 MACDh_12_26_9:2.3345 MACDs_12_26_9:3.0778 BBL_20_2:200.9233 BBM_20_2:237.1575 BBU_20_2:273.3917 BBB_20_2:30.5571 BBP_20_2:0.6631 EMA_10:247.7877 EMA_50:235.0941 EMA_GAP:0.0540 ADX_14:26.2482 ADXR_14_2:27.0534 DMP_14:29.5765 DMN_14:22.1947 STOCHk_14_3_3:65.1419 STOCHd_14_3_3:71.2446 STOCHh_14_3_3:-6.1027 ret_5:-0.0751 mom_10:0.1281 vol_10:0.0740 rng_1:0.0296 zret_20:-0.0821 dist_20h:-0.0751 dist_20l:0.1654 skew_20:3.0751 kurt_20:12.7503 vol_ratio_20:-0.2894,market_state
2024-11-04,TSLA,-1,1,ret_1:-0.0247 corr_60d:0.4555 beta_60d:2.5066 SMA_20:237.2580 SMA_50:234.7106 RSI_14:51.1951 MACD_12_26_9:4.7294 MACDh_12_26_9:1.3212 MACDs_12_26_9:3.4081 BBL_20_2:200.9725 BBM_20_2:237.2580 BBU_20_2:273.5435 BBB_20_2:30.5874 BBP_20_2:0.5769 EMA_10:246.8881 EMA_50:235.3978 EMA_GAP:0.0488 ADX_14:24.6035 ADXR_14_2:25.8870 DMP_14:27.5863 DMN_14:25.8645 STOCHk_14_3_3:57.1599 STOCHd_14_3_3:64.3876 STOCHh_14_3_3:-7.2277 ret_5:-0.0749 mom_10:0.1096 vol_10:0.0747 rng_1:0.0413 zret_20:-0.4697 dist_20h:-0.0979 dist_20l:0.1366 skew_20:3.1123 kurt_20:13.0024 vol_ratio_20:-0.1508,market_state
2024-11-05,TSLA,-1,1,ret_1:0.0354 corr_60d:0.4627 beta_60d:2.5120 SMA_20:237.6050 SMA_50:235.4752 RSI_14:55.7555 MACD_12_26_9:4.8265 MACDh_12_26_9:1.1347 MACDs_12_26_9:3.6918 BBL_20_2:200.9186 BBM_20_2:237.6050 BBU_20_2:274.2914 BBB_20_2:30.8802 BBP_20_2:0.6886 EMA_10:247.7158 EMA_50:236.0269 EMA_GAP:0.0495 ADX_14:23.6215 ADXR_14_2:24.9349 DMP_14:29.5283 DMN_14:23.7451 STOCHk_14_3_3:58.0227 STOCHd_14_3_3:60.1082 STOCHh_14_3_3:-2.0855 ret_5:-0.0311 mom_10:0.1536 vol_10:0.0748 rng_1:0.0361 zret_20:0.5749 dist_20h:-0.0659 dist_20l:0.1769 skew_20:2.9938 kurt_20:12.2466 vol_ratio_20:-0.1516,market_state
2024-11-06,TSLA,-1,1,ret_1:0.1475 corr_60d:0.5297 beta_60d:2.9738 SMA_20:239.9790 SMA_50:237.0616 RSI_14:69.1458 MACD_12_26_9:7.8063 MACDh_12_26_9:3.2916 MACDs_12_26_9:4.5147 BBL_20_2:197.0879 BBM_20_2:239.9790 BBU_20_2:282.8701 BBB_20_2:35.7457 BBP_20_2:1.0660 EMA_10:255.1365 EMA_50:238.0859 EMA_GAP:0.0716 ADX_14:24.7064 ADXR_14_2:24.6549 DMP_14:42.3938 DMN_14:18.6878 STOCHk_14_3_3:70.8935 STOCHd_14_3_3:62.0253 STOCHh_14_3_3:8.8681 ret_5:0.1203 mom_10:0.3505 vol_10:0.0839 rng_1:0.0484 zret_20:2.0989 dist_20h:0.0000 dist_20l:0.3505 skew_20:2.2097 kurt_20:5.8521 vol_ratio_20:0.9076,market_state
2024-11-07,TSLA,-1,1,ret_1:0.0290 corr_60d:0.5395 beta_60d:3.0064 SMA_20:242.8860 SMA_50:238.8848 RSI_14:71.2620 MACD_12_26_9:10.7205 MACDh_12_26_9:4.9646 MACDs_12_26_9:5.7559 BBL_20_2:193.3504 BBM_20_2:242.8860 BBU_20_2:292.4216 BBB_20_2:40.7892 BBP_20_2:1.0453 EMA_10:262.7317 EMA_50:240.3927 EMA_GAP:0.0929 ADX_14:26.1112 ADXR_14_2:24.8663 DMP_14:44.6796 DMN_14:17.2150 STOCHk_14_3_3:86.4718 STOCHd_14_3_3:71.7960 STOCHh_14_3_3:14.6758 ret_5:0.1884 mom_10:0.1399 vol_10:0.0529 rng_1:0.0479 zret_20:0.2498 dist_20h:0.0000 dist_20l:0.3897 skew_20:2.1206 kurt_20:5.5713 vol_ratio_20:0.3282,market_state
2024-11-08,TSLA,-1,1,ret_1:0.0819 corr_60d:0.5195 beta_60d:3.0026 SMA_20:248.0570 SMA_50:241.1836 RSI_14:76.3332 MACD_12_26_9:14.8207 MACDh_12_26_9:7.2519 MACDs_12_26_9:7.5688 BBL_20_2:189.3356 BBM_20_2:248.0570 BBU_20_2:306.7784 BBB_20_2:47.3451 BBP_20_2:1.1230 EMA_10:273.3659 EMA_50:243.5624 EMA_GAP:0.1224 ADX_14:28.2825 ADXR_14_2:26.4944 DMP_14:52.0755 DMN_14:14.4704 STOCHk_14_3_3:96.3226 STOCHd_14_3_3:84.5626 STOCHh_14_3_3:11.7600 ret_5:0.2901 mom_10:0.1933 vol_10:0.0570 rng_1:0.0967 zret_20:0.9737 dist_20h:0.0000 dist_20l:0.5035 skew_20:2.2908 kurt_20:5.2503 vol_ratio_20:1.2397,market_state
2024-11-11,TSLA,-1,0,ret_1:0.0896 corr_60d:0.5051 beta_60d:2.9949 SMA_20:254.5990 SMA_50:243.9014 RSI_14:80.6799 MACD_12_26_9:20.1601 MACDh_12_26_9:10.0730 MACDs_12_26_9:10.0871 BBL_20_2:182.5679 BBM_20_2:254.5990 BBU_20_2:326.6301 BBB_20_2:56.5840 BBP_20_2:1.1622 EMA_10:287.2994 EMA_50:247.7364 EMA_GAP:0.1597 ADX_14:30.9057 ADXR_14_2:28.5084 DMP_14:56.7663 DMN_14:12.0383 STOCHk_14_3_3:94.8131 STOCHd_14_3_3:92.5358 STOCHh_14_3_3:2.2773 ret_5:0.4413 mom_10:0.3333 vol_10:0.0586 rng_1:0.0647 zret_20:1.0033 dist_20h:0.0000 dist_20l:0.6382 skew_20:1.9666 kurt_20:3.7738 vol_ratio_20:1.1560,market_state
2024-11-12,TSLA,-1,1,ret_1:-0.0615 corr_60d:0.5050 beta_60d:3.0658 SMA_20:260.0450 SMA_50:246.2592 RSI_14:70.2893 MACD_12_26_9:22.3977 MACDh_12_26_9:9.8485 MACDs_12_26_9:12.5492 BBL_20_2:183.1268 BBM_20_2:260.0450 BBU_20_2:336.9632 BBB_20_2:59.1576 BBP_20_2:0.9449 EMA_10:294.7886 EMA_50:250.9032 EMA_GAP:0.1749 ADX_14:32.3761 ADXR_14_2:30.3293 DMP_14:50.2755 DMN_14:16.0983 STOCHk_14_3_3:87.5015 STOCHd_14_3_3:92.8791 STOCHh_14_3_3:-5.3776 ret_5:0.3064 mom_10:0.2658 vol_10:0.0644 rng_1:0.0686 zret_20:-1.2560 dist_20h:-0.0615 dist_20l:0.5375 skew_20:1.7655 kurt_20:3.2473 vol_ratio_20:0.5225,market_state
2024-11-13,TSLA,-1,1,ret_1:0.0053 corr_60d:0.5041 beta_60d:3.0611 SMA_20:265.4905 SMA_50:248.4758 RSI_14:70.6208 MACD_12_26_9:24.0352 MACDh_12_26_9:9.1888 MACDs_12_26_9:14.8464 BBL_20_2:184.9703 BBM_20_2:265.4905 BBU_20_2:346.0107 BBB_20_2:60.6577 BBP_20_2:0.9021 EMA_10:301.2343 EMA_50:254.0145 EMA_GAP:0.1859 ADX_14:33.6810 ADXR_14_2:32.2933 DMP_14:45.6237 DMN_14:14.9479 STOCHk_14_3_3:81.7380 STOCHd_14_3_3:88.0176 STOCHh_14_3_3:-6.2795 ret_5:0.1446 mom_10:0.2822 vol_10:0.0638 rng_1:0.0669 zret_20:-0.2522 dist_20h:-0.0565 dist_20l:0.5457 skew_20:1.7692 kurt_20:3.2516 vol_ratio_20:0.1823,market_state
2024-11-14,TSLA,-1,1,ret_1:-0.0577 corr_60d:0.5135 beta_60d:3.1488 SMA_20:270.0050 SMA_50:250.0960 RSI_14:62.4480 MACD_12_26_9:23.5238 MACDh_12_26_9:6.9419 MACDs_12_26_9:16.5819 BBL_20_2:189.8699 BBM_20_2:270.0050 BBU_20_2:350.1401 BBB_20_2:59.3583 BBP_20_2:0.7569 EMA_10:303.0426 EMA_50:256.2563 EMA_GAP:0.1826 ADX_14:34.0015 ADXR_14_2:33.1888 DMP_14:41.8723 DMN_14:18.7383 STOCHk_14_3_3:70.4937 STOCHd_14_3_3:79.9111 STOCHh_14_3_3:-9.4174 ret_5:0.0481 mom_10:0.2455 vol_10:0.0671 rng_1:0.0630 zret_20:-1.1188 dist_20h:-0.1109 dist_20l:0.4565 skew_20:1.6522 kurt_20:2.8748 vol_ratio_20:0.1019,market_state
2024-11-15,TSLA,-1,1,ret_1:0.0307 corr_60d:0.4715 beta_60d:2.8169 SMA_20:275.0060 SMA_50:252.2958 RSI_14:64.6530 MACD_12_26_9:23.6161 MACDh_12_26_9:5.6273 MACDs_12_26_9:17.9887 BBL_20_2:195.3203 BBM_20_2:275.0060 BBU_20_2:354.6917 BBB_20_2:57.9520 BBP_20_2:0.7868 EMA_10:306.2567 EMA_50:258.7843 EMA_GAP:0.1834 ADX_14:34.2164 ADXR_14_2:33.9487 DMP_14:39.1734 DMN_14:18.0100 STOCHk_14_3_3:68.3311 STOCHd_14_3_3:73.5210 STOCHh_14_3_3:-5.1899 ret_5:-0.0016 mom_10:0.2881 vol_10:0.0664 rng_1:0.0482 zret_20:0.1413 dist_20h:-0.0837 dist_20l:0.5011 skew_20:1.5867 kurt_20:2.7377 vol_ratio_20:0.0145,market_state
2024-11-18,TSLA,-1,1,ret_1:0.0562 corr_60d:0.4654 beta_60d:2.8273 SMA_20:281.0005 SMA_50:254.7452 RSI_14:68.4244 MACD_12_26_9:24.8567 MACDh_12_26_9:5.4944 MACDs_12_26_9:19.3623 BBL_20_2:201.0769 BBM_20_2:281.0005 BBU_20_2:360.9241 BBB_20_2:56.8850 BBP_20_2:0.8612 EMA_10:312.1627 EMA_50:261.9198 EMA_GAP:0.1918 ADX_14:35.1261 ADXR_14_2:34.5638 DMP_14:44.3492 DMN_14:16.0096 STOCHk_14_3_3:70.6969 STOCHd_14_3_3:69.8406 STOCHh_14_3_3:0.8563 ret_5:-0.0322 mom_10:0.3949 vol_10:0.0642 rng_1:0.0547 zret_20:0.4651 dist_20h:-0.0322 dist_20l:0.5855 skew_20:1.4380 kurt_20:2.3647 vol_ratio_20:0.0800,market_state
2024-11-19,TSLA,-1,1,ret_1:0.0214 corr_60d:0.4629 beta_60d:2.7989 SMA_20:287.4020 SMA_50:257.1418 RSI_14:69.8215 MACD_12_26_9:26.1246 MACDh_12_26_9:5.4098 MACDs_12_26_9:20.7148 BBL_20_2:208.1917 BBM_20_2:287.4020 BBU_20_2:366.6123 BBB_20_2:55.1216 BBP_20_2:0.8699 EMA_10:318.3150 EMA_50:265.2170 EMA_GAP:0.2002 ADX_14:35.9708 ADXR_14_2:35.0936 DMP_14:41.7254 DMN_14:15.0624 STOCHk_14_3_3:80.3885 STOCHd_14_3_3:73.1389 STOCHh_14_3_3:7.2497 ret_5:0.0533 mom_10:0.3761 vol_10:0.0644 rng_1:0.0423 zret_20:-0.0585 dist_20h:-0.0114 dist_20l:0.6195 skew_20:1.4000 kurt_20:2.3403 vol_ratio_20:-0.2535,market_state
